avg_rate,geek_rate,id,num_votes,title
6.88,N/A,216811,4,Sails of Glory Ship Pack: Principe de Asturias 1794 / San Hermenegildo 1789
8.67,N/A,216812,3,Sails of Glory Ship Pack: Artesien 1765 / Roland 1771
N/A,N/A,216815,N/A,Mario Golf 64 Board Game
3.33,N/A,216837,3,Quiz: Historia Polski
N/A,N/A,216840,N/A,Baggage Train
7.00,N/A,216848,1,"Juggernauts:  Panzerkeil vs. ArtKor, Kursk 1943"
8.44,N/A,216849,20,Dominion (Second Edition) Big Box
N/A,N/A,216855,N/A,Knot Tying Game: Fisherman's Challenge
6.85,N/A,216856,11,Demon Worker
7.23,N/A,216863,10,Imperial Settlers: Aztecs – Common cards
7.00,N/A,216864,1,Card City XL
9.00,N/A,216865,1,Sherman Leader
8.00,N/A,216867,1,YAZOKY: Game balance in your own hands
N/A,N/A,216868,N/A,What the Fruit!?
3.00,N/A,216870,1,El joc de Terrassa
10.00,N/A,216871,1,Hull Breach!: Anaheim Production Platfiorm
4.00,N/A,216877,1,Coffee Break
N/A,N/A,216891,N/A,My Little Pony Poppin' Pinkie Pie Game
7.00,N/A,216895,2,Das Duell um die Geld
10.00,N/A,216897,1,Regimental Fire and Fury: Civil War Battle Scenarios Volume 1 – 1861-1862
10.00,N/A,216898,1,Regimental Fire and Fury: Civil War Battle Scenarios Volume 2 – 1862-1863
4.00,N/A,216899,2,The Best Expansion Ever
N/A,N/A,216900,N/A,Don't Wake Hank!
10.00,N/A,216902,1,Pirates of Praedonia
7.30,N/A,216907,5,The Dutch East Indies
8.80,N/A,216912,5,Star Wars: The Card Game – Technological Terror
6.00,N/A,216946,2,Skribble Head
7.17,N/A,216955,6,Orcs Must Die!: Order Edition – Hero Pack
7.75,N/A,216956,4,Orcs Must Die!: Unchained Edition – Hero Pack
7.42,5.571,216961,35,Escape Room: The Game – Welcome To Funland
5.00,N/A,216962,1,The Worst Game Ever: Little Drop of Poison Promo
8.13,N/A,216965,6,"Pathfinder Adventure Card Game: Mummy's Mask – ""Blessing of Khepri"" Promo Card"
8.00,N/A,216974,1,King's Road
7.75,N/A,216975,4,Apotheca: Tima the Red Promo Card
10.00,N/A,216976,1,Dicey Goblins: Festive Choice Token
9.00,N/A,216977,1,Covert: Kane Klenko Character Card
8.25,N/A,216978,8,FUSE: Wild Die
7.00,N/A,216980,2,Snow Tails: Polar Plunge Track
7.00,N/A,216985,1,Nomads
N/A,N/A,217005,N/A,Afterglow Miniatures Game
6.27,N/A,217006,11,Carcassonne: Under the Big Top
5.17,N/A,217007,12,La Criatura
N/A,N/A,217008,N/A,Linnumäng
9.00,N/A,217012,17,Alchemical Crystal Quest (second edition)
6.00,N/A,217015,1,Level 8 Master
N/A,N/A,217016,N/A,Body Count
6.03,N/A,217018,4,Frankie's Food Truck Fiasco Game
7.86,N/A,217020,7,Truck Off: The Food Truck Frenzy
4.50,N/A,217021,2,Spillet om Klatremus og de andre dyrene i Hakkebakkeskogen
6.00,N/A,217022,1,Traponium
N/A,N/A,217023,N/A,Naval Engagement
6.30,N/A,217035,3,Geek Out!: TableTop Limited Edition
8.17,N/A,217077,6,Gingerdead House: The Walking Bread
10.00,N/A,217078,1,StarCrusade Deus Vult
N/A,N/A,217085,N/A,Unearth
7.83,N/A,217095,3,Magyar népmesék: A társasjáték
9.67,N/A,217096,3,Urban Tribes
8.00,N/A,217098,1,Trôl
8.33,N/A,217099,3,Seeders from Sereis: Exodus
8.00,N/A,217100,1,Fate of Wæteria
N/A,N/A,217102,N/A,Heard the News
7.00,N/A,217134,1,Kokonana
N/A,N/A,217135,N/A,Crocofant
N/A,N/A,217136,N/A,Kurzer Prozess
1.00,N/A,217137,1,1-2-3 räknar Mamma Mu och Kråkan
6.00,N/A,217138,2,Zama: Hannibal vs Scipio
N/A,N/A,217139,N/A,Alamo to Appomattox
N/A,N/A,217141,N/A,Shaun the Sheep: A Pizza the Action!
N/A,N/A,217142,N/A,Vault Wars: Dragonkeeper Promo Card
N/A,N/A,217143,N/A,"Stalin's Final War: 1953, What If?"
N/A,N/A,217154,N/A,"Jitra Jitters: The Battle for Nangka, December 12, 1941"
4.00,N/A,217155,2,Les Recettes Pompettes: Le Jeu
N/A,N/A,217156,N/A,Double Double Talk
7.00,N/A,217158,1,Unicorn
N/A,N/A,217159,N/A,Spy or Die Trying: Code Blue
N/A,N/A,217167,N/A,Das Vermächtnis des Maharaja: Rabatt
7.38,N/A,217172,29,Villages of Valeria: Bard Promo Card
N/A,N/A,217174,N/A,Blindes Huhn Extrem: Umsortieren
N/A,N/A,217175,N/A,To The Coop!
6.56,N/A,217177,9,Space Poo: The Card Game
8.09,N/A,217181,1,Chaos in China: Chinese war of Reunification – 1912 to 1928
5.50,N/A,217183,1,Word Has It!
N/A,N/A,217184,N/A,Q•bitz Jr.
8.00,N/A,217185,1,Camellia
5.50,N/A,217186,2,Greedy Farm
10.00,N/A,217187,1,Equity
10.00,N/A,217192,1,Let's Make A Baby
N/A,N/A,217195,N/A,East India Company
N/A,N/A,217196,N/A,"Hakoniwa no kuni ""The Reclamation"""
N/A,N/A,217197,N/A,Lucky Forward: Patton’s Third Army in Lorraine
N/A,N/A,217198,N/A,Campaign for North Africa
N/A,N/A,217199,N/A,"Austerlitz, 2 December 1805"
N/A,N/A,217200,N/A,Free Mars
N/A,N/A,217201,N/A,D-Day at Iwo Jima
N/A,N/A,217202,N/A,Operation Mars
N/A,N/A,217203,N/A,"Quatre-Bras, 16 June 1815"
N/A,N/A,217204,N/A,Planet Explorer
N/A,N/A,217205,N/A,Star Force Alpha Centauri
N/A,N/A,217206,N/A,The Wandering of the Peoples: The Voelkerwanderung
9.00,N/A,217207,2,"Dust Tactics: Steel Guard Fire Support Squad – ""Steel  Wall"""
N/A,N/A,217208,N/A,Frankia
N/A,N/A,217209,N/A,Company Clash
N/A,N/A,217210,N/A,Banana Wars (1898-1935)
N/A,N/A,217211,N/A,Rails to Victory
6.50,N/A,217212,2,Reise um die Erde
6.50,N/A,217215,1,YO! Fish
7.00,N/A,217229,1,Ubongo Junior 3-D
5.55,N/A,217230,21,The Walking Pet
6.50,N/A,217232,1,Gruselgrütze
5.00,N/A,217233,1,Chicken Wings: Glow in the Dark
7.25,N/A,217234,4,Haste Worte? Jubiläumsedition
6.25,N/A,217235,4,Pfannen-Pannen
N/A,N/A,217238,N/A,Kanji Game
N/A,N/A,217251,N/A,Le quiz de comment
7.00,N/A,217253,1,Labyrint 2.0
7.33,N/A,217257,3,Animal P-P-P-Pickup
7.00,N/A,217261,5,Bohnanza: 20 Jahre
8.58,N/A,217265,6,Ziriguidum
8.64,N/A,217268,7,Wyścig Odkrywców
N/A,N/A,217269,N/A,Let's Go Sugaring
5.00,N/A,217271,1,Skunk!!!
5.50,N/A,217273,2,Slicer
5.83,N/A,217275,12,Kakerlaken-Duell
9.17,N/A,217278,12,Sentinels of the Multiverse: Shattered Timelines & Wrath of the Cosmos
N/A,N/A,217286,N/A,Joyland
7.47,N/A,217298,8,Anansi and the Box of Stories
8.08,N/A,217299,9,Kolejka: Gamers' Deck
